lambda,Caso1,Caso2,Caso3,Caso4,Caso5,Caso6,Caso7,Caso8,Caso9
1.00,4.67,3.2,3.2,2.42,2.21,2.21,1.81,1.81,1.46
1.05,5.17,3.61,3.42,2.67,2.55,2.31,2.04,1.92,1.6
1.10,5.64,4.04,3.63,2.91,2.92,2.41,2.27,2.04,1.74
1.15,6.09,4.47,3.82,3.12,3.29,2.48,2.49,2.14,1.87
1.20,6.52,4.91,4.02,3.34,3.67,2.56,2.72,2.24,1.98
1.25,6.95,5.34,4.18,3.55,4.07,2.63,2.95,2.33,2.1
1.30,7.36,5.77,4.35,3.73,4.48,2.69,3.16,2.42,2.2
1.35,7.76,6.21,4.5,3.92,4.92,2.72,3.36,2.48,2.3
1.40,8.14,6.62,4.65,4.08,5.31,2.75,3.56,2.56,2.37
1.45,8.51,7.02,4.78,4.23,5.73,2.8,3.73,2.62,2.45
1.50,8.87,7.41,4.92,4.38,6.14,2.84,3.91,2.68,2.51
1.55,9.22,7.81,5.0,4.53,6.54,2.86,4.07,2.53,2.57
1.60,9.54,8.17,5.09,4.65,6.93,2.87,4.22,2.87,2.63
1.65,9.86,8.52,5.13,4.77,7.33,2.87,4.37,2.78,2.68
1.70,10.15,8.87,5.17,4.88,7.7,2.88,4.51,2.79,2.72
1.75,10.43,9.19,5.26,4.97,8.06,2.88,4.63,2.81,2.76
1.80,10.71,9.52,5.36,5.07,8.43,2.89,4.75,2.83,2.8
1.85,10.96,9.82,5.43,5.16,8.77,2.89,4.87,2.85,2.83
1.90,11.21,10.11,5.5,5.23,9.08,2.9,4.98,2.87,2.85
1.95,11.44,10.39,5.58,5.31,9.41,2.9,5.08,2.89,2.88
2.00,11.68,10.68,5.66,5.39,9.72,2.91,5.19,2.91,2.91
inf,15.35,15.35,6.38,6.38,15.35,3.07,6.38,3.07,3.07
